day, strategy_name, total, success, fail
2023-02-27,停机坪,13,2,10
2023-02-25,海龟交易法则,289,0,289
2023-02-25,放量上涨,15,0,15
2023-02-25,突破平台,163,0,163
2023-02-25,均线多头,175,0,175
2023-02-25,无大幅回撤,8,0,8
2023-02-25,停机坪,12,0,12
2021-11-26,海龟交易法则,474,80,349
2021-11-26,放量上涨,1,0,1
2021-11-26,突破平台,51,14,31
2021-11-26,均线多头,382,68,289
2021-11-26,无大幅回撤,15,1,13
2021-11-26,停机坪,29,4,22
2023-02-24,海龟交易法则,289,63,199
2023-02-24,放量上涨,15,4,10
2023-02-24,突破平台,163,23,115
2023-02-24,均线多头,175,37,121
2023-02-24,无大幅回撤,8,2,3
2023-02-24,停机坪,12,0,10
