 [2023-03-29 20:39:31,907] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 4 天后, 总数:9, 成功数:2, 失败数:7, 成功率: 22.22%, 失败率 77.78%]
 [2023-03-29 20:39:31,918] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 5 天后, 总数:9, 成功数:1, 失败数:8, 成功率: 11.11%, 失败率 88.89%]
 [2023-03-29 20:39:31,930] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 6 天后, 总数:9, 成功数:1, 失败数:7, 成功率: 11.11%, 失败率 77.78%]
 [2023-03-29 20:39:31,942] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 7 天后, 总数:9, 成功数:0, 失败数:8, 成功率: 0.00%, 失败率 88.89%]
 [2023-03-29 20:39:31,955] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 8 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:31,966] - [backtest_tmp.py] - [day:2021-09-22, 海龟突破 在 9 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:31,977] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 1 天后, 总数:5, 成功数:0, 失败数:5, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:31,986] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 2 天后, 总数:5, 成功数:0, 失败数:5, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:31,993] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 3 天后, 总数:5, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 80.00%]
 [2023-03-29 20:39:32,002] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 4 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:32,010] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 5 天后, 总数:5, 成功数:0, 失败数:5, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,017] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 6 天后, 总数:5, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 60.00%]
 [2023-03-29 20:39:32,025] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 7 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:32,033] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 8 天后, 总数:5, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 80.00%]
 [2023-03-29 20:39:32,040] - [backtest_tmp.py] - [day:2021-09-22, 均线突破 在 9 天后, 总数:5, 成功数:1, 失败数:4, 成功率: 20.00%, 失败率 80.00%]
 [2023-03-29 20:39:32,044] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 1 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,049] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 2 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,053] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 3 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,056] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 4 天后, 总数:4, 成功数:1, 失败数:3, 成功率: 25.00%, 失败率 75.00%]
 [2023-03-29 20:39:32,060] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 5 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,064] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 6 天后, 总数:4, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 75.00%]
 [2023-03-29 20:39:32,067] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 7 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,071] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 8 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,075] - [backtest_tmp.py] - [day:2021-09-22, 海龟均线突破 在 9 天后, 总数:4, 成功数:0, 失败数:4, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,101] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 1 天后, 总数:9, 成功数:1, 失败数:7, 成功率: 11.11%, 失败率 77.78%]
 [2023-03-29 20:39:32,123] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 2 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,145] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 3 天后, 总数:9, 成功数:3, 失败数:6, 成功率: 33.33%, 失败率 66.67%]
 [2023-03-29 20:39:32,169] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 4 天后, 总数:9, 成功数:1, 失败数:7, 成功率: 11.11%, 失败率 77.78%]
 [2023-03-29 20:39:32,193] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 5 天后, 总数:9, 成功数:1, 失败数:6, 成功率: 11.11%, 失败率 66.67%]
 [2023-03-29 20:39:32,217] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 6 天后, 总数:9, 成功数:1, 失败数:8, 成功率: 11.11%, 失败率 88.89%]
 [2023-03-29 20:39:32,241] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 7 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,264] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 8 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,287] - [backtest_tmp.py] - [day:2021-09-23, 海龟放量 在 9 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-29 20:39:32,402] - [backtest_tmp.py] - [day:2021-09-23, 海龟均线 在 1 天后, 总数:42, 成功数:5, 失败数:36, 成功率: 11.90%, 失败率 85.71%]
