 [2023-03-22 23:06:24,649] - [backtest_tmp.py] - [day:2021-10-21, 海龟交易法则 在 5 天后, 总数:109, 成功数:14, 失败数:90, 成功率: 12.84%, 失败率 82.57%]
 [2023-03-22 23:06:24,728] - [backtest_tmp.py] - [day:2021-10-21, 突破平台 在 5 天后, 总数:38, 成功数:5, 失败数:32, 成功率: 13.16%, 失败率 84.21%]
 [2023-03-22 23:06:24,800] - [backtest_tmp.py] - [day:2021-10-21, 均线多头 在 5 天后, 总数:30, 成功数:8, 失败数:21, 成功率: 26.67%, 失败率 70.00%]
 [2023-03-22 23:06:24,826] - [backtest_tmp.py] - [day:2021-10-21, 无大幅回撤 在 5 天后, 总数:8, 成功数:3, 失败数:5, 成功率: 37.50%, 失败率 62.50%]
 [2023-03-22 23:06:24,835] - [backtest_tmp.py] - [day:2021-10-21, 停机坪 在 5 天后, 总数:6, 成功数:1, 失败数:5, 成功率: 16.67%, 失败率 83.33%]
 [2023-03-22 23:06:24,959] - [backtest_tmp.py] - [day:2021-09-29, 海龟交易法则 在 5 天后, 总数:57, 成功数:12, 失败数:39, 成功率: 21.05%, 失败率 68.42%]
 [2023-03-22 23:06:24,983] - [backtest_tmp.py] - [day:2021-09-29, 放量上涨 在 5 天后, 总数:7, 成功数:3, 失败数:4, 成功率: 42.86%, 失败率 57.14%]
 [2023-03-22 23:06:25,104] - [backtest_tmp.py] - [day:2021-09-29, 突破平台 在 5 天后, 总数:55, 成功数:15, 失败数:32, 成功率: 27.27%, 失败率 58.18%]
 [2023-03-22 23:06:25,454] - [backtest_tmp.py] - [day:2021-09-29, 均线多头 在 5 天后, 总数:150, 成功数:14, 失败数:130, 成功率: 9.33%, 失败率 86.67%]
 [2023-03-22 23:06:25,480] - [backtest_tmp.py] - [day:2021-09-29, 无大幅回撤 在 5 天后, 总数:9, 成功数:1, 失败数:6, 成功率: 11.11%, 失败率 66.67%]
 [2023-03-22 23:06:25,521] - [backtest_tmp.py] - [day:2021-09-29, 停机坪 在 5 天后, 总数:15, 成功数:1, 失败数:13, 成功率: 6.67%, 失败率 86.67%]
 [2023-03-22 23:06:26,353] - [backtest_tmp.py] - [day:2021-09-15, 海龟交易法则 在 5 天后, 总数:401, 成功数:39, 失败数:345, 成功率: 9.73%, 失败率 86.03%]
 [2023-03-22 23:06:26,373] - [backtest_tmp.py] - [day:2021-09-15, 放量上涨 在 5 天后, 总数:7, 成功数:2, 失败数:5, 成功率: 28.57%, 失败率 71.43%]
 [2023-03-22 23:06:26,541] - [backtest_tmp.py] - [day:2021-09-15, 突破平台 在 5 天后, 总数:62, 成功数:8, 失败数:51, 成功率: 12.90%, 失败率 82.26%]
 [2023-03-22 23:06:26,979] - [backtest_tmp.py] - [day:2021-09-15, 均线多头 在 5 天后, 总数:195, 成功数:21, 失败数:171, 成功率: 10.77%, 失败率 87.69%]
 [2023-03-22 23:06:27,036] - [backtest_tmp.py] - [day:2021-09-15, 无大幅回撤 在 5 天后, 总数:26, 成功数:4, 失败数:22, 成功率: 15.38%, 失败率 84.62%]
 [2023-03-22 23:06:27,098] - [backtest_tmp.py] - [day:2021-09-15, 停机坪 在 5 天后, 总数:25, 成功数:5, 失败数:17, 成功率: 20.00%, 失败率 68.00%]
 [2023-03-22 23:06:28,494] - [backtest_tmp.py] - [day:2023-03-21, 海龟交易法则 在 5 天后, 总数:148, 成功数:0, 失败数:148, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:28,544] - [backtest_tmp.py] - [day:2023-03-21, 放量上涨 在 5 天后, 总数:7, 成功数:0, 失败数:7, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:29,228] - [backtest_tmp.py] - [day:2023-03-21, 突破平台 在 5 天后, 总数:105, 成功数:0, 失败数:105, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:29,592] - [backtest_tmp.py] - [day:2023-03-21, 均线多头 在 5 天后, 总数:24, 成功数:0, 失败数:24, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:29,643] - [backtest_tmp.py] - [day:2023-03-21, 无大幅回撤 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:29,653] - [backtest_tmp.py] - [day:2023-03-21, 停机坪 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:30,971] - [backtest_tmp.py] - [day:2023-03-09, 海龟交易法则 在 5 天后, 总数:411, 成功数:50, 失败数:328, 成功率: 12.17%, 失败率 79.81%]
 [2023-03-22 23:06:31,039] - [backtest_tmp.py] - [day:2023-03-09, 放量上涨 在 5 天后, 总数:20, 成功数:6, 失败数:13, 成功率: 30.00%, 失败率 65.00%]
 [2023-03-22 23:06:31,671] - [backtest_tmp.py] - [day:2023-03-09, 突破平台 在 5 天后, 总数:271, 成功数:35, 失败数:223, 成功率: 12.92%, 失败率 82.29%]
 [2023-03-22 23:06:31,893] - [backtest_tmp.py] - [day:2023-03-09, 均线多头 在 5 天后, 总数:74, 成功数:16, 失败数:55, 成功率: 21.62%, 失败率 74.32%]
 [2023-03-22 23:06:31,906] - [backtest_tmp.py] - [day:2023-03-09, 无大幅回撤 在 5 天后, 总数:3, 成功数:0, 失败数:3, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:31,917] - [backtest_tmp.py] - [day:2023-03-09, 停机坪 在 5 天后, 总数:8, 成功数:1, 失败数:6, 成功率: 12.50%, 失败率 75.00%]
